Word	Norwegian-no	Valence	Arousal	Dominance
orbital	orbital	0.458	0.451	0.559
orbiting	bane rundt	0.520	0.643	0.554
orbs	orbs	0.469	0.355	0.482
orc	ork	0.240	0.510	0.388
orchard	frukthage	0.760	0.269	0.333
orchestra	orkester	0.708	0.500	0.664
orchid	orkide	0.840	0.345	0.382
ordained	ordinert	0.735	0.409	0.731
ordeal	ildprøve	0.344	0.539	0.529
order	rekkefølge	0.780	0.295	0.814
orderly	velordnet	0.844	0.240	0.661
ordinance	vedtekter	0.615	0.452	0.776
ordinary	vanlig	0.375	0.312	0.286
ordination	ordinasjon	0.688	0.490	0.765
ordnance	artilleri	0.354	0.825	0.679
ore	malm	0.500	0.333	0.356
oregano	oregano	0.596	0.327	0.250
organ	organ	0.510	0.469	0.538
organic	organisk	0.719	0.343	0.535
organism	organisme	0.457	0.559	0.800
organist	organist	0.740	0.469	0.669
organization	organisasjon	0.810	0.535	0.851
organize	organisere	0.802	0.655	0.781
organized	organisert	0.816	0.337	0.746
organizer	arrangør	0.604	0.577	0.846
orgasm	orgasme	0.844	0.863	0.676
orgies	orgier	0.388	0.953	0.433
orgy	orgie	0.346	0.962	0.536
orient	orient	0.667	0.422	0.667
oriental	orientalsk	0.592	0.409	0.598
orientation	orientering	0.667	0.454	0.686
orifice	åpning	0.448	0.355	0.443
origami	origami	0.684	0.276	0.294
origin	opprinnelse	0.729	0.435	0.591
original	opprinnelig	0.765	0.480	0.746
originality	originalitet	0.898	0.500	0.824
originate	stammer	0.702	0.500	0.866
origination	origi	0.760	0.443	0.604
originator	opphavs	0.592	0.510	0.868
ornament	ornament	0.561	0.373	0.441
ornamental	ornamental	0.663	0.392	0.460
ornamentation	ornamentikk	0.663	0.471	0.472
ornamented	ornamentert	0.677	0.350	0.490
ornate	utsmykkede	0.812	0.356	0.500
ornery	ornery	0.361	0.520	0.509
orphan	foreldreløs	0.133	0.388	0.140
orphanage	barnehjem	0.184	0.439	0.425
orphaned	foreldreløs	0.062	0.430	0.228
orthodontist	orthodontist	0.469	0.615	0.564
orthodox	ortodoks	0.388	0.471	0.647
orthodoxy	ortodoksi	0.271	0.388	0.612
orthogonal	ortogonale	0.500	0.314	0.540
orthopedic	ortopedisk	0.406	0.346	0.473
oscillate	svinge	0.449	0.580	0.397
oscillating	oscillerende	0.469	0.548	0.402
oscillation	svingning	0.562	0.433	0.431
oscillatory	oscillasjon	0.375	0.520	0.480
ostensible	ostensible	0.542	0.549	0.585
ostensibly	tilsynelatende	0.473	0.529	0.509
ostentatious	prang	0.479	0.794	0.648
ostracized	utstøtt	0.115	0.690	0.377
ostrich	struts	0.592	0.382	0.241
other	annen	0.472	0.230	0.259
otter	oter	0.439	0.216	0.339
otto	otto	0.427	0.425	0.404
ottoman	ottomanske	0.531	0.337	0.444
ought	burde	0.438	0.511	0.434
ounce	unse	0.531	0.255	0.288
oust	utkonkurrere	0.296	0.716	0.444
outage	brudd	0.306	0.684	0.438
outback	outback	0.500	0.324	0.430
outbid	overby	0.594	0.622	0.540
outboard	påhengs	0.448	0.491	0.456
outbreak	utbrudd	0.260	0.632	0.472
outburst	utbrudd	0.209	0.802	0.528
outcast	utstøtt	0.153	0.449	0.353
outcome	utfall	0.615	0.472	0.685
outcry	ramaskrik	0.271	0.773	0.718
outdated	utdatert	0.167	0.236	0.226
outdo	overgå	0.771	0.750	0.873
outdoor	utendørs	0.814	0.256	0.447
outdoors	utendørs	0.781	0.444	0.453
outer	ytre	0.552	0.471	0.456
outfit	antrekk	0.760	0.490	0.566
outgoing	utgående	0.650	0.472	0.538
outgrow	vokse	0.510	0.529	0.722
outgrowth	utvekst	0.771	0.620	0.688
outhouse	uthus	0.281	0.519	0.255
outing	utflukt	0.771	0.672	0.634
outlandish	outlandish	0.448	0.737	0.657
outlast	ut sist	0.620	0.786	0.685
outlaw	fredløs	0.255	0.662	0.482
outlet	stikkontakt	0.610	0.396	0.245
outline	omriss	0.542	0.365	0.509
outlines	skisserer	0.656	0.402	0.651
outlive	overleve	0.565	0.769	0.724
outlook	Outlook	0.830	0.525	0.625
outlying	utmark	0.460	0.562	0.503
outnumber	tallmessig	0.347	0.615	0.577
outpatient	poliklinisk	0.260	0.400	0.395
outpost	utpost	0.635	0.571	0.675
outpouring	utgytelse	0.562	0.685	0.552
output	produksjon	0.604	0.389	0.434
outrage	raseri	0.060	0.689	0.542
outraged	rasende	0.156	0.696	0.538
outrageous	opprør	0.153	0.945	0.713
outrank	outrank	0.653	0.643	0.817
outreach	oppsøk	0.540	0.462	0.672
outright	outright	0.767	0.396	0.755
outrun	løpe	0.531	0.833	0.573
outset	utgangspunktet	0.750	0.500	0.582
outsider	outsider	0.398	0.549	0.447
outskirts	utkanten	0.474	0.519	0.312
outsmart	liste	0.673	0.657	0.864
outspoken	frittalende	0.582	0.413	0.667
outstanding	fremragende	0.898	0.760	0.896
outstretched	utstrakte	0.448	0.481	0.519
outward	ytre	0.449	0.439	0.365
outwards	utad	0.440	0.472	0.400
outweigh	oppveier	0.486	0.600	0.682
outwit	liste	0.302	0.755	0.356
oval	oval	0.417	0.280	0.330
ovary	eggstokk	0.469	0.399	0.280
ovate	ovate	0.385	0.286	0.368
ovation	applaus	0.719	0.758	0.750
oven	stekeovn	0.583	0.425	0.606
overactive	aktiv	0.667	0.885	0.592
overall	alt i alt	0.583	0.370	0.670
overalls	kjeledress	0.500	0.392	0.373
overbearing	nedlatende	0.323	0.833	0.861
overburden	belaste	0.115	0.755	0.546
overcast	overskyet	0.417	0.250	0.475
overcharged	ladet	0.276	0.780	0.569
overcoat	ytterfrakk	0.594	0.265	0.430
overcome	vinne	0.719	0.689	0.848
overcoming	vinne	0.842	0.765	0.855
overcrowded	befolket	0.292	0.520	0.491
overdo	drive	0.156	0.864	0.602
overdose	overdose	0.110	0.820	0.468
overdrive	drive	0.303	0.715	0.732
overdue	forfalt	0.125	0.427	0.259
overestimate	overvurdere	0.367	0.796	0.444
overestimated	overvurdert	0.344	0.646	0.527
overflow	flyte	0.398	0.792	0.500
overflowing	fylte	0.439	0.796	0.635
overgrown	grodd	0.333	0.500	0.369
overgrowth	gjengroing	0.417	0.790	0.673
overhanging	hengende	0.698	0.755	0.812
overhaul	overhaling	0.500	0.651	0.491
overhead	overhead	0.344	0.700	0.538
overhear	høre	0.650	0.365	0.580
overheated	overopphetet	0.250	0.598	0.547
overjoyed	lykkelig	0.908	0.708	0.755
overkill	kill	0.379	0.861	0.678
overlaid	kledde	0.620	0.610	0.676
overlap	overlapping	0.594	0.615	0.627
overlapping	overlapp	0.595	0.578	0.684
overlay	overlegg	0.564	0.596	0.749
overload	overbelastning	0.381	0.690	0.652
overlook	overse	0.292	0.418	0.415
overlord	Overlord	0.750	0.755	0.932
overlying	liggende	0.500	0.519	0.691
overpaid	betalte	0.429	0.670	0.585
overpass	pass	0.562	0.561	0.565
overplayed	spilte	0.224	0.798	0.586
overpower	overmakten	0.448	0.859	0.783
overpowering	overveldende	0.392	0.779	0.589
overpriced	priset	0.271	0.556	0.472
overprotective	overbeskyttende	0.448	0.673	0.741
overrated	overvurdert	0.312	0.630	0.482
overreact	reagere	0.306	0.912	0.471
override	overstyring	0.316	0.491	0.529
overriding	overordnet	0.240	0.490	0.384
overrule	overprøve	0.224	0.412	0.429
overrun	kjørt	0.271	0.764	0.598
oversee	overvåke	0.541	0.649	0.778
overseer	tilsynsmann	0.552	0.520	0.873
overshadow	skygge	0.333	0.549	0.654
oversight	forglemmelse	0.385	0.618	0.723
oversized	dimensjonert	0.552	0.540	0.679
overslept	forsov meg	0.408	0.315	0.300
overstate	drive	0.281	0.779	0.635
overstock	stock	0.344	0.592	0.589
overt	overt	0.708	0.326	0.607
overtake	overta	0.573	0.620	0.718
overtaken	taken	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	overthinker	0.430	0.606	0.552
overthinking	overtenke	0.408	0.761	0.525
overthrow	styrte	0.260	0.868	0.620
overtime	over tid	0.447	0.504	0.529
overtired	trøtt	0.210	0.357	0.273
overture	overtyre	0.490	0.402	0.491
overturn	velte	0.240	0.765	0.396
overview	oversikt	0.615	0.380	0.539
overweight	overvekt	0.052	0.500	0.389
overwhelm	overvelde	0.250	0.823	0.462
overwhelmed	overveldet	0.341	0.680	0.348
overwhelming	overveldende	0.327	0.830	0.640
overworked	arbeidet	0.133	0.670	0.387
overwrought	overspent	0.156	0.900	0.571
overzealous	ivrig	0.427	0.804	0.703
owe	skylde	0.500	0.429	0.386
owing	som skylder	0.396	0.307	0.381
owl	ugle	0.520	0.270	0.321
owner	Eieren	0.776	0.449	0.920
ownership	eie	0.628	0.445	0.741
ox	okse	0.417	0.396	0.412
oxidation	oksidasjon	0.453	0.415	0.211
oxide	oksid	0.354	0.377	0.298
oxygen	oksygen	0.908	0.310	0.575
oxymoron	oxymoron	0.427	0.481	0.398
oyster	østers	0.500	0.311	0.327
ozone	ozon	0.560	0.345	0.518
pace	tempo	0.510	0.380	0.390
pacemaker	pacemaker	0.448	0.569	0.582
pacific	pacific	0.627	0.118	0.580
pacified	pasifisert	0.802	0.194	0.414
pacifier	smokk	0.615	0.342	0.356
pacifist	pasifist	0.663	0.153	0.557
pacify	pasifisere	0.812	0.283	0.629
pacing	pacing	0.583	0.551	0.491
pack	pakke	0.510	0.347	0.475
package	pakke	0.571	0.433	0.443
packaging	emballasje	0.604	0.393	0.549
packer	pakningen	0.520	0.480	0.537
packet	pakke	0.582	0.385	0.407
pact	pakt	0.442	0.444	0.593
pad	pad	0.684	0.279	0.330
padded	polstret	0.606	0.212	0.371
padding	padding	0.561	0.398	0.423
paddle	padle	0.561	0.375	0.393
paddle boat	padle båt	0.663	0.373	0.415
paddock	paddock	0.480	0.429	0.481
paddy	paddy	0.653	0.330	0.330
padlock	hengelås	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	paean	0.552	0.547	0.471
pagan	hedensk	0.292	0.578	0.542
paganism	hedenskap	0.240	0.640	0.411
page	side	0.677	0.224	0.278
pageant	konkurranse	0.719	0.667	0.651
pager	personsøker	0.510	0.526	0.554
pagination	paginering	0.459	0.333	0.400
paging	personsøker	0.542	0.398	0.423
pagoda	pagoda	0.571	0.259	0.435
pail	spann	0.448	0.177	0.188
pain	smerte	0.012	0.765	0.395
pained	smertelig	0.112	0.500	0.250
painful	smertefull	0.050	0.742	0.330
painfully	smertefullt	0.156	0.720	0.407
painkiller	smertestillende	0.487	0.312	0.481
painless	smertefri	0.785	0.173	0.491
pains	smerter	0.106	0.673	0.362
painstaking	møysommelig	0.396	0.335	0.386
paint	maling	0.667	0.343	0.413
paintball	paintball	0.615	0.745	0.537
paintbrush	pensel	0.714	0.226	0.353
painted	malt	0.667	0.333	0.424
painter	maler	0.677	0.366	0.487
painting	maleri	0.792	0.324	0.333
pair	par	0.552	0.317	0.304
paisley	paisley	0.531	0.327	0.347
pajama	pyjamas	0.908	0.157	0.245
pajamas	pyjamas	0.719	0.170	0.264
pal	pal	0.812	0.426	0.596
palace	slott	0.878	0.510	0.804
palatable	spiselig	0.823	0.500	0.594
palate	gane	0.625	0.350	0.358
pale	blek	0.281	0.259	0.245
paleontology	paleontologi	0.438	0.308	0.617
palette	palett	0.590	0.333	0.205
pall	pall	0.277	0.387	0.394
palladium	palladium	0.470	0.380	0.393
pallet	pall	0.604	0.241	0.349
palliative	palliativ	0.548	0.394	0.518
palm	palm	0.531	0.194	0.340
palmer	palmer	0.480	0.269	0.413
palomino	palomino	0.616	0.349	0.396
palpable	håndgripelig	0.552	0.343	0.611
palpitations	hjertebank	0.417	0.702	0.528
palsy	parese	0.083	0.446	0.221
paltry	ussel	0.333	0.491	0.320
pamper	skjemme	0.792	0.321	0.348
pamphlet	pamflett	0.530	0.250	0.327
pan	panne	0.734	0.182	0.364
panacea	universalmiddel	0.420	0.427	0.613
panache	bravur	0.510	0.363	0.306
pancake	pannekake	0.802	0.274	0.364
pancakes	pannekaker	0.844	0.373	0.402
pancreas	bukspyttkjertelen	0.469	0.302	0.366
panda	panda	0.646	0.194	0.406
pandemic	pandemi	0.160	0.790	0.544
pandemonium	pandemonium	0.229	0.885	0.500
pane	ruten	0.385	0.250	0.444
panel	panel	0.469	0.321	0.425
pang	NO TRANSLATION	0.146	0.595	0.455
panhandle	Panhandle	0.441	0.431	0.414
panic	panikk	0.062	0.938	0.400
panicattack	NO TRANSLATION	0.255	0.724	0.386
panicked	fikk panikk	0.100	0.949	0.260
panicking	panikk	0.094	0.882	0.333
panicky	panikk	0.284	0.962	0.393
panier	NO TRANSLATION	0.500	0.392	0.380
panorama	panorama	0.719	0.402	0.625
panoramic	panorama	0.542	0.462	0.684
pansy	stemorsblomst	0.653	0.283	0.589
pant	bukse	0.448	0.463	0.409
pantheon	gude	0.144	0.410	0.610
panther	panter	0.303	0.594	0.682
panties	truser	0.594	0.529	0.312
pantomime	pantomime	0.552	0.481	0.385
pantry	spiskammers	0.622	0.294	0.312
pants	bukser	0.673	0.320	0.333
panty	truse	0.451	0.557	0.303
pantyhose	strømpebukse	0.570	0.539	0.250
pap	pap	0.438	0.403	0.302
papa	papa	0.656	0.340	0.527
papacy	pavedømmet	0.481	0.263	0.553
papal	NO TRANSLATION	0.493	0.304	0.559
papaya	papaya	0.630	0.306	0.300
paper	papir	0.520	0.123	0.293
paperback	paperback	0.633	0.269	0.314
paperboy	Paperboy	0.521	0.490	0.471
paperweight	paperweight	0.421	0.278	0.433
paperwork	papirer	0.448	0.355	0.422
paprika	paprika	0.417	0.250	0.264
papyrus	Papyrus	0.459	0.240	0.324
par	NO TRANSLATION	0.615	0.372	0.429
parable	lignelsen	0.479	0.357	0.525
parabola	parabel	0.542	0.413	0.620
parabolic	parabolske	0.459	0.509	0.500
parachute	fallskjerm	0.562	0.787	0.564
parade	parade	0.792	0.685	0.509
paradigm	paradigmet	0.573	0.429	0.779
paradise	paradis	0.875	0.540	0.796
paradox	paradoks	0.417	0.442	0.482
paradoxical	paradoksale	0.406	0.547	0.433
paraffin	parafin	0.426	0.291	0.343
paragon	paragon	0.490	0.431	0.473
paragraph	avsnitt	0.510	0.164	0.269
parakeet	undulat	0.576	0.387	0.227
paralegal	advokatassistent	0.479	0.470	0.519
parallax	parallax	0.437	0.394	0.471
parallel	parallell	0.568	0.284	0.465
parallelism	parallellitet	0.549	0.363	0.527
paralysis	lammelse	0.156	0.500	0.305
paralyze	lamme	0.188	0.367	0.471
paralyzed	lammet	0.194	0.480	0.198
paramedic	Ambulansearbeider	0.673	0.464	0.636
paramedics	paramedics	0.479	0.594	0.712
paramilitary	paramilitære	0.154	0.804	0.727
paramount	overordnet	0.771	0.615	0.902
paranoia	paranoia	0.146	0.841	0.407
paranoid	paranoid	0.122	0.918	0.364
paranormal	paranormal	0.167	0.814	0.560
parapet	brystn	0.450	0.356	0.279
paraphernalia	brukerutstyr	0.443	0.726	0.509
paraphrase	omskrive	0.500	0.375	0.444
paraplegic	paraplegic	0.188	0.441	0.321
parasite	parasitt	0.092	0.442	0.324
parasitic	parasittiske	0.037	0.600	0.364
parasol	parasoll	0.604	0.255	0.304
parcel	pakke	0.660	0.324	0.411
parcels	pakker	0.551	0.445	0.418
parched	uttørket	0.250	0.235	0.255
parchment	pergament	0.615	0.228	0.455
pardon	tilgi	0.552	0.413	0.542
pare	NO TRANSLATION	0.500	0.356	0.309
parenchyma	parenkymet	0.500	0.399	0.595
parent	forelder	0.812	0.357	0.860
parentage	foreldre	0.903	0.382	0.595
parental	foreldre	0.760	0.430	0.627
parenthesis	NO TRANSLATION	0.510	0.255	0.380
parenthetical	parentes	0.490	0.327	0.391
parenthood	foreldreskap	0.750	0.630	0.782
parenting	foreldre	0.812	0.520	0.676
pariah	paria	0.397	0.478	0.293
parietal	parietal	0.481	0.333	0.491
paring	paring	0.429	0.441	0.324
parish	menighet	0.698	0.354	0.582
parity	paritet	0.582	0.406	0.407
park	parkere	0.816	0.343	0.414
parka	parka	0.469	0.481	0.395
parking	parkering	0.777	0.469	0.510
parkinsons	Parkinsons	0.104	0.570	0.373
parlance	språkbruk	0.510	0.350	0.462
parlay	parlay	0.469	0.611	0.483
parliament	Stortinget	0.573	0.540	0.858
parliamentary	parlamentarisk	0.490	0.554	0.755
parlor	privaten	0.500	0.327	0.366
parmesan	parmesan	0.698	0.321	0.382
parody	parodi	0.561	0.651	0.375
parole	parole	0.388	0.620	0.526
parquet	parkett	0.541	0.240	0.422
parrot	papegøye	0.588	0.333	0.292
parry	parere	0.510	0.404	0.436
parse	analysere	0.469	0.456	0.667
parsimonious	parsimonious	0.417	0.312	0.446
parsimony	parsimoni	0.449	0.280	0.403
parsley	persille	0.458	0.170	0.291
parson	Parson	0.583	0.250	0.615
part	del	0.663	0.278	0.360
partake	ta del	0.755	0.656	0.629
partial	delvis	0.429	0.324	0.348
partiality	partiskhet	0.375	0.380	0.490
partially	delvis	0.418	0.368	0.396
participant	deltager	0.712	0.598	0.613
participate	delta	0.755	0.580	0.684
participation	deltakelse	0.781	0.700	0.702
particle	partikkel~~POS=TRUNC	0.521	0.265	0.438
particular	bestemt	0.562	0.402	0.552
particularity	particularity	0.670	0.434	0.586
particulars	opplysninger	0.604	0.348	0.525
parting	avskjed	0.260	0.542	0.353
partisan	partisan	0.615	0.549	0.669
partisanship	å være partisk	0.438	0.566	0.551
partition	skillevegg	0.615	0.469	0.567
partly	til dels	0.415	0.410	0.396
partner	samboer	0.673	0.302	0.586
partnership	samarbeid	0.786	0.387	0.545
partridge	Partridge	0.583	0.415	0.250
parts	deler	0.459	0.327	0.392
party	parti	0.948	0.840	0.547
pas	NO TRANSLATION	0.490	0.344	0.262
pass	passere	0.510	0.324	0.362
passable	farbar	0.688	0.337	0.633
passage	passasje	0.429	0.314	0.370
passageway	passasje	0.490	0.389	0.400
passe	NO TRANSLATION	0.531	0.357	0.426
passenger	passasjer	0.717	0.413	0.481
passim	NO TRANSLATION	0.458	0.491	0.333
passing	passering	0.458	0.298	0.509
passion	lidenskap	0.854	0.865	0.728
passionate	lidenskapelig	0.990	0.827	0.731
passive	passiv	0.420	0.116	0.241
passivity	passivitet	0.241	0.115	0.246
passkey	tilgangsnøkkel	0.646	0.500	0.791
passport	pass	0.653	0.457	0.682
password	passord	0.390	0.356	0.559
past	forbi	0.490	0.422	0.311
pasta	pasta	0.615	0.306	0.375
paste	lim inn	0.500	0.556	0.500
pastel	pastell	0.719	0.357	0.367
pastime	tidsfordriv	0.677	0.353	0.443
pastor	pastor	0.698	0.236	0.746
pastrami	pastrami	0.542	0.415	0.348
pastry	kake	0.870	0.407	0.419
pasture	beitemark	0.688	0.145	0.170
pasty	deigaktig	0.479	0.363	0.375
pat	klapp	0.418	0.377	0.340
patch	lapp	0.439	0.288	0.283
patchwork	lappeteppe	0.500	0.260	0.325
pate	hode	0.406	0.260	0.260
patella	patella	0.430	0.260	0.342
patent	patentere	0.724	0.391	0.609
patented	patentert	0.571	0.422	0.685
paternal	fars	0.776	0.353	0.755
paternity	farskap	0.704	0.590	0.806
path	sti	0.590	0.245	0.421
pathetic	patetisk	0.088	0.464	0.139
pathological	patologisk	0.220	0.602	0.580
pathologist	patologen	0.354	0.552	0.585
pathology	patologi	0.271	0.560	0.558
pathos	NO TRANSLATION	0.350	0.449	0.462
pathway	pathway	0.646	0.410	0.519
patience	tålmodighet	0.771	0.125	0.387
patient	pasient	0.583	0.193	0.340
patio	uteplass	0.562	0.245	0.402
patriarch	patriarken	0.592	0.448	0.898
patriarchal	patriarkalske	0.531	0.500	0.857
patrimony	arv	0.719	0.406	0.740
patriot	patriot	0.771	0.635	0.886
patriotic	patriotisk	0.875	0.509	0.933
patriotism	patriotisme	0.708	0.635	0.848
patrol	patrulje	0.427	0.664	0.736
patrolman	patrolman	0.469	0.731	0.884
patron	skyts	0.583	0.451	0.870
patronage	beskyttelse	0.583	0.490	0.583
patronising	nedlatende	0.439	0.455	0.582
patronize	nedlatende	0.430	0.451	0.591
patronizing	nedlatende	0.542	0.365	0.529
patter	patter	0.312	0.635	0.451
pattern	mønster	0.479	0.422	0.664
paucity	sparsomme	0.153	0.453	0.175
pauper	fattiglem	0.260	0.347	0.151
pause	pause	0.429	0.188	0.264
pave	bane	0.594	0.490	0.509
pavement	fortau	0.460	0.353	0.475
pavilion	paviljong	0.583	0.500	0.770
paving	asfaltering	0.408	0.469	0.545
paw	labb	0.417	0.360	0.286
pawn	bonde	0.390	0.321	0.187
pawnshop	Pantelåner	0.396	0.439	0.519
pax	pax	0.551	0.421	0.473
pay	betale	0.514	0.588	0.592
payable	som skal betales	0.385	0.480	0.606
payback	Payback	0.459	0.500	0.567
paycheck	Lønning	0.896	0.630	0.652
payday	lønning	0.833	0.741	0.571
payer	betaler	0.313	0.630	0.638
payload	nyttelast	0.612	0.510	0.682
payment	innbetaling	0.629	0.452	0.643
payoff	Lønne seg	0.740	0.644	0.673
payout	utbetaling	0.646	0.600	0.575
payphone	telefonkiosk	0.469	0.360	0.370
payroll	lønn	0.521	0.360	0.549
pea	ert	0.580	0.275	0.298
peace	fred	0.939	0.156	0.613
peaceable	fredsommelig	0.776	0.134	0.453
peaceful	fredelig	0.867	0.108	0.569
peacefully	fredelig	0.901	0.190	0.639
peacekeeper	fredsbevarer	0.865	0.320	0.644
peaceofmind	NO TRANSLATION	0.786	0.160	0.519
peacetime	fredstid	0.949	0.180	0.579
peach	fersken	0.704	0.480	0.272
peachy	peachy	0.755	0.479	0.388
peacock	påfugl	0.786	0.449	0.458
peak	topp	0.500	0.345	0.431
peaked	toppet	0.677	0.704	0.857
peanut	peanøtt	0.646	0.202	0.246
peanuts	peanøtter	0.542	0.294	0.324
pear	pære	0.677	0.158	0.241
pearl	perle	0.905	0.425	0.642
pearly	pearly	0.635	0.337	0.373
peas	erter	0.542	0.283	0.310
peasant	bonde	0.530	0.275	0.407
peat	torv	0.333	0.655	0.504
pebble	småstein	0.354	0.353	0.287
pecan	pecan	0.552	0.316	0.358
peck	Peck	0.202	0.530	0.321
pecker	Pecker	0.459	0.509	0.375
peculiar	merkelig	0.600	0.491	0.564
peculiarities	særegenheter	0.511	0.460	0.528
peculiarity	særegenhet	0.439	0.452	0.652
peculiarly	besynderlig	0.615	0.450	0.454
pecuniary	økonomisk	0.490	0.490	0.500
pedal	pedal	0.500	0.320	0.342
pedantic	pedantisk	0.229	0.608	0.253
peddle	peddle	0.539	0.549	0.538
peddler	kramkar	0.408	0.481	0.390
pedestal	sokkel	0.735	0.284	0.579
pedestrian	fotgjenger	0.438	0.360	0.448
pediatric	pediatrisk	0.560	0.462	0.490
pediatrician	barnelege	0.602	0.500	0.627
pediatrics	pediatri	0.750	0.380	0.596
pedicure	pedikyr	0.695	0.269	0.296
pedigree	stamtavle	0.625	0.340	0.609
pedometer	skritteller	0.469	0.561	0.405
pedophile	pedofil	0.051	0.724	0.430
pee	tisse	0.449	0.529	0.391
peek	titt	0.486	0.360	0.411
peekaboo	titt tei	0.592	0.607	0.412
peel	skrelle	0.439	0.250	0.279
peep	peep	0.573	0.317	0.269
peeper	peeper	0.182	0.537	0.343
peephole	kikkhull	0.479	0.500	0.310
peer	likemann	0.458	0.321	0.569
peering	peering	0.514	0.409	0.451
peerless	Peerless	0.688	0.450	0.462
peeved	peeved	0.156	0.750	0.467
peg	knagg	0.520	0.357	0.393
pegs	knagger	0.408	0.286	0.386
peice	NO TRANSLATION	0.479	0.422	0.398
pelagic	pelagisk	0.521	0.554	0.491
pelican	pelikan	0.573	0.391	0.380
pellet	pellet	0.448	0.390	0.466
pelvic	bekken	0.320	0.632	0.373
pelvis	bekken	0.378	0.618	0.380
pen	penn	0.622	0.194	0.250
penal	straffe~~POS=TRUNC	0.208	0.565	0.610
penalty	straff	0.062	0.490	0.240
penance	bot	0.219	0.667	0.463
penchant	forkjærlighet	0.688	0.480	0.609
pencil	blyant	0.552	0.200	0.263
pendant	anheng	0.676	0.321	0.385
pendency	pendency	0.396	0.452	0.472
pendent	NO TRANSLATION	0.470	0.380	0.425
pending	i påvente av	0.396	0.441	0.473
pendulum	pendel	0.542	0.368	0.434
penetrate	trenge	0.287	0.877	0.732
penetrating	trengende	0.469	0.792	0.782
penetration	penetrasjon	0.438	0.885	0.792
penguin	pingvin	0.615	0.296	0.307
penicillin	penicillin	0.417	0.431	0.566
penile	penile	0.490	0.736	0.491
peninsula	halvøy	0.551	0.384	0.627
penis	penis	0.354	0.810	0.556
penitent	angrende	0.542	0.530	0.508
penitentiary	Penitentiary	0.229	0.726	0.491
penmanship	skrivekunst	0.677	0.284	0.509
pennant	vimpel	0.542	0.380	0.426
penniless	pengelens	0.062	0.316	0.083
penny	øre	0.615	0.302	0.324
pension	pensjon	0.625	0.409	0.406
pensioner	pensjonist	0.440	0.245	0.442
pensive	tankefull	0.540	0.220	0.529
pentagon	pentagon	0.490	0.636	0.774
pentagram	pentagram	0.510	0.433	0.466
penthouse	penthouse	0.592	0.430	0.395
penultimate	nest siste	0.469	0.366	0.255
people	mennesker	0.604	0.400	0.500
peopled	befolket	0.594	0.450	0.679
pep	pep	0.510	0.510	0.364
pepper	pepper	0.400	0.539	0.328
peppermint	peppermynte	0.720	0.264	0.271
pepperoni	pepperoni	0.796	0.472	0.358
peppy	peppy	0.677	0.529	0.438
peptic	peptisk	0.398	0.463	0.362
peptide	peptid	0.380	0.480	0.411
perceive	oppfatte	0.653	0.490	0.655
percent	prosent	0.470	0.350	0.356
percentage	prosentdel	0.469	0.400	0.553
percentile	persentil	0.479	0.410	0.390
perceptible	merkbar	0.710	0.460	0.620
perception	oppfatning	0.653	0.481	0.655
perceptive	observant	0.745	0.500	0.741
perch	abbor	0.531	0.300	0.314
perchance	muligens	0.480	0.224	0.298
percolation	percolation	0.397	0.417	0.415
percussion	perkusjon	0.622	0.635	0.642
perdition	fortapelse	0.135	0.656	0.496
peremptory	peremptory	0.429	0.426	0.606
perennial	flerårig	0.527	0.358	0.500
perfect	perfekt	0.980	0.471	0.870
perfection	fullkommenhet	0.881	0.745	0.934
perfectionist	perfeksjonist	0.667	0.704	0.905
perfecto	NO TRANSLATION	0.802	0.567	0.889
perforated	perforert	0.219	0.607	0.344
perforation	perforasjon	0.365	0.668	0.578
perforce	perforce	0.357	0.689	0.354
perform	utføre	0.765	0.555	0.773
performance	opptreden	0.750	0.520	0.672
performer	utøver	0.541	0.530	0.708
perfume	parfyme	0.740	0.472	0.463
perfumed	parfymert	0.816	0.471	0.509
peri	peri	0.448	0.433	0.370
peridot	peridot	0.458	0.481	0.435
peril	Peril	0.052	0.910	0.518
perilous	farefull	0.143	0.862	0.575
perimeter	omkrets	0.470	0.443	0.555
period	periode	0.396	0.324	0.588
periodic	periodisk	0.677	0.324	0.508
periodical	tidsskrift	0.550	0.298	0.430
periodically	jevne mellomrom	0.480	0.314	0.515
periodicity	periodisitet	0.646	0.324	0.645
peripheral	perifer	0.406	0.406	0.549
periphery	periferien	0.469	0.360	0.366
periscope	periskop	0.604	0.375	0.609
perish	omkomme	0.296	0.570	0.415
perishable	forgjengelig	0.270	0.464	0.354
perished	omkom	0.135	0.596	0.225
perishing	fortapt	0.229	0.423	0.148
perjury	mened	0.229	0.686	0.409
perk	ekstra fordel	0.903	0.519	0.682
perky	oppkvikket	0.896	0.792	0.673
perm	perm	0.667	0.465	0.741
permanence	permanens	0.771	0.370	0.708
permanent	fast	0.745	0.345	0.736
permeable	gjennomtrengelig	0.635	0.402	0.495
permeate	gjennomsyre	0.417	0.410	0.407
permeation	gjennomtrengning	0.418	0.559	0.536
permissible	tillatelig	0.684	0.646	0.612
permission	tillatelse	0.612	0.311	0.580
permissive	givende	0.633	0.389	0.413
permit	tillate	0.733	0.349	0.518
